route_id,agency_id,route_short_name,route_long_name,route_desc,route_type,route_color,route_text_color
"20-755-sj2-1","2433","755","Plumpton and Shalvey to Mount Druitt","Sydney Buses Network","3","00B5EF","FFFFFF"
"20-756-sj2-1","2433","756","Blacktown to Mount Druitt via Woodcroft and Plumpton","Sydney Buses Network","3","00B5EF","FFFFFF"
"20-757-sj2-1","2433","757","Riverstone to Mount Druitt via Marsden Park and Rooty Hill","Sydney Buses Network","3","00B5EF","FFFFFF"
"20-758-sj2-1","2433","758","St Marys to Mount Druitt via Tregear and Shalvey","Sydney Buses Network","3","00B5EF","FFFFFF"
"20-759-sj2-1","2433","759","St Marys to Mount Druitt via Ropes Crossing","Sydney Buses Network","3","00B5EF","FFFFFF"
"20-761-sj2-1","2433","761","Mount Druitt to Bidwill (Loop Service)","Sydney Buses Network","3","00B5EF","FFFFFF"
"20-770-sj2-1","2433","770","Mount Druitt to Penrith via St Marys","Sydney Buses Network","3","00B5EF","FFFFFF"
"20-771-sj2-1","2433","771","Mount Druitt to St Marys via Colyton","Sydney Buses Network","3","00B5EF","FFFFFF"
"20-774-sj2-1","2433","774","Mount Druitt to Penrith via Nepean Hospital","Sydney Buses Network","3","00B5EF","FFFFFF"
"20-775-sj2-1","2433","775","Mount Druitt to Penrith via Erskine Park","Sydney Buses Network","3","00B5EF","FFFFFF"
"20-776-sj2-1","2433","776","Mount Druitt to Penrith via St Clair","Sydney Buses Network","3","00B5EF","FFFFFF"
"20-778-sj2-1","2433","778","Claremont Meadows to St Marys","Sydney Buses Network","3","00B5EF","FFFFFF"
"20-779-sj2-1","2433","779","Erskine Park to St Marys","Sydney Buses Network","3","00B5EF","FFFFFF"
"20-780-sj2-1","2433","780","Mount Druitt to Penrith via Ropes Crossing","Sydney Buses Network","3","00B5EF","FFFFFF"
"20-781-sj2-1","2433","781","St Marys to Penrith via Glenmore Park","Sydney Buses Network","3","00B5EF","FFFFFF"
"20-782-sj2-1","2433","782","St Marys to Penrith via Werrington","Sydney Buses Network","3","00B5EF","FFFFFF"
"20-783-sj2-1","2433","783","Penrith to Jordan Springs (Loop Service)","Sydney Buses Network","3","00B5EF","FFFFFF"
"20-784-sj2-1","2433","784","Penrith to Cranebrook (Loop Service)","Sydney Buses Network","3","00B5EF","FFFFFF"
"20-785-sj2-1","2433","785","Werrington to Penrith via Cambridge Park","Sydney Buses Network","3","00B5EF","FFFFFF"
"20-786-sj2-1","2433","786","Penrith to Cranebrook via North Penrith (Loop Service)","Sydney Buses Network","3","00B5EF","FFFFFF"
"20-789-sj2-1","2433","789","Luddenham to Penrith","Sydney Buses Network","3","00B5EF","FFFFFF"
"20-791-sj2-1","2433","791","Penrith to Jamisontown via South Penrith (Loop Service)","Sydney Buses Network","3","00B5EF","FFFFFF"
"20-793-sj2-1","2433","793","Penrith to Jamisontown (Loop Service)","Sydney Buses Network","3","00B5EF","FFFFFF"
"20-794-sj2-1","2433","794","Glenmore Park to Penrith via The Northern Rd","Sydney Buses Network","3","00B5EF","FFFFFF"
"20-795-sj2-1","2433","795","Warragamba to Penrith","Sydney Buses Network","3","00B5EF","FFFFFF"
"20-797-sj2-1","2433","797","Penrith to Glenmore Park (Loop Service)","Sydney Buses Network","3","00B5EF","FFFFFF"
"20-799-sj2-1","2433","799","Glenmore Park to Penrith via Regentville","Sydney Buses Network","3","00B5EF","FFFFFF"
"20-S11-sj2-1","2433","S11","St Clair to St Marys","Sydney Buses Network","3","00B5EF","FFFFFF"
"20-S12-sj2-1","2433","S12","Quakers Hill to Marayong (Loop Service)","Sydney Buses Network","3","00B5EF","FFFFFF"
"20-S13-sj2-1","2433","S13","Penrith to Mountainview Village (Loop Service)","Sydney Buses Network","3","00B5EF","FFFFFF"
"20-S7-sj2-1","2433","S7","Parklea Garden Village to Blacktown","Sydney Buses Network","3","00B5EF","FFFFFF"
"20-T70-sj2-1","2433","T70","Castle Hill to Blacktown via Glenwood","Sydney Buses Network","3","00B5EF","FFFFFF"
"20-T71-sj2-1","2433","T71","Castle Hill to Blacktown via Standhope Gardens","Sydney Buses Network","3","00B5EF","FFFFFF"
"20-T72-sj2-1","2433","T72","Quakers Hill to Blacktown","Sydney Buses Network","3","00B5EF","FFFFFF"
"20-T74-sj2-1","2433","T74","Riverstone to Blacktown","Sydney Buses Network","3","00B5EF","FFFFFF"
"20-T75-sj2-1","2433","T75","Riverstone and Rouse Hill to Blacktown","Sydney Buses Network","3","00B5EF","FFFFFF"
"20-WPS-B-sj2-1","2433","WPSB","Blacktown Station to Westpoint Blacktown (Shuttle Service)","Sydney Buses Network","3","00B5EF","FFFFFF"
"21-850-sj2-1","2434","850","Narellan Town Centre to Minto","Sydney Buses Network","3","00B5EF","FFFFFF"
"21-851-sj2-1","2434","851","Carnes Hill Marketplace to Liverpool via Cowpasture Rd","Sydney Buses Network","3","00B5EF","FFFFFF"
"21-852-sj2-1","2434","852","Carnes Hill Marketplace to Liverpool via Greenway Dr and Cowpasture Rd","Sydney Buses Network","3","00B5EF","FFFFFF"
"21-853-sj2-1","2434","853","Carnes Hill to Liverpool via Hoxton Park Rd","Sydney Buses Network","3","00B5EF","FFFFFF"
"21-854-sj2-1","2434","854","Carnes Hill to Liverpool via Greenway Dr and Hoxton Park Rd","Sydney Buses Network","3","00B5EF","FFFFFF"
"21-855-sj2-1","2434","855","Rutleigh Park to Liverpool via Austral and Leppington Station","Sydney Buses Network","3","00B5EF","FFFFFF"
"21-856-sj2-1","2434","856","Bringelly to Liverpool","Sydney Buses Network","3","00B5EF","FFFFFF"
"21-857-sj2-1","2434","857","Narellan to Liverpool","Sydney Buses Network","3","00B5EF","FFFFFF"
"21-858-sj2-1","2434","858","Oran Park Town Centre to Leppington","Sydney Buses Network","3","00B5EF","FFFFFF"
"21-864-sj2-1","2434","864","Carnes Hill to Glenfield via Horningsea Park","Sydney Buses Network","3","00B5EF","FFFFFF"
"21-865-sj2-1","2434","865","Casula to Liverpool via Lurnea Shops","Sydney Buses Network","3","00B5EF","FFFFFF"
"21-866-sj2-1","2434","866","Casula to Liverpool","Sydney Buses Network","3","00B5EF","FFFFFF"
"21-867-sj2-1","2434","867","Prestons to Glenfield","Sydney Buses Network","3","00B5EF","FFFFFF"
"21-869-sj2-1","2434","869","Ingleburn to Liverpool via Edmondson Park and Prestons","Sydney Buses Network","3","00B5EF","FFFFFF"
"21-870-sj2-1","2434","870","Campbelltown to Liverpool","Sydney Buses Network","3","00B5EF","FFFFFF"
"21-871-sj2-1","2434","871","Campbelltown to Liverpool via Glenfield","Sydney Buses Network","3","00B5EF","FFFFFF"
"21-872-sj2-1","2434","872","Campbelltown to Liverpool via Macquarie Fields","Sydney Buses Network","3","00B5EF","FFFFFF"
"21-873-sj2-1","2434","873","Minto to Ingleburn","Sydney Buses Network","3","00B5EF","FFFFFF"
"21-874-sj2-1","2434","874","Minto to Raby (Loop Service)","Sydney Buses Network","3","00B5EF","FFFFFF"
"21-875-sj2-1","2434","875","Minto to St Andrews (Loop Service)","Sydney Buses Network","3","00B5EF","FFFFFF"
"21-876-sj2-1","2434","876","Macquarie Fields Station to Eucalyptus Dr (Loops Service)","Sydney Buses Network","3","00B5EF","FFFFFF"
"21-S9-sj2-1","2434","S9","Glenfield to Glenquarie Shops (Loop Service)","Sydney Buses Network","3","00B5EF","FFFFFF"
"22-800-sj2-1","2435","800","Blacktown to Fairfield via Wetherill Park","Sydney Buses Network","3","00B5EF","FFFFFF"
"22-801-sj2-1","2435","801","Badgerys Creek to Liverpool","Sydney Buses Network","3","00B5EF","FFFFFF"
"22-802-sj2-1","2435","802","Liverpool to Parramatta via Green Valley","Sydney Buses Network","3","00B5EF","FFFFFF"
"22-803-sj2-1","2435","803","Liverpool to Miller (Loop Service)","Sydney Buses Network","3","00B5EF","FFFFFF"
"22-804-sj2-1","2435","804","Liverpool to Parramatta via Hinchinbrook","Sydney Buses Network","3","00B5EF","FFFFFF"
"22-805-sj2-1","2435","805","Liverpool to Cabramatta via Bonnyrigg Heights","Sydney Buses Network","3","00B5EF","FFFFFF"
"22-806-sj2-1","2435","806","Liverpool to Parramatta via Abbotsbury","Sydney Buses Network","3","00B5EF","FFFFFF"
"22-807-sj2-1","2435","807","Cecil Hills to Cabramatta via Bonnyrigg","Sydney Buses Network","3","00B5EF","FFFFFF"
"22-808-sj2-1","2435","808","Liverpool to Fairfield via Abbotsbury","Sydney Buses Network","3","00B5EF","FFFFFF"
"22-809-sj2-1","2435","809","Pemulwuy to Merrylands via South Wentworthville","Sydney Buses Network","3","00B5EF","FFFFFF"
"22-810-sj2-1","2435","810","Merrylands to Parramatta via Pemulwuy","Sydney Buses Network","3","00B5EF","FFFFFF"
"22-810-X-sj2-1","2435","810X","Merrylands to Parramatta via Great Western Hwy","Sydney Buses Network","3","00B5EF","FFFFFF"
"22-811-sj2-1","2435","811","Pemulwuy to Parramatta via Hilltop Rd","Sydney Buses Network","3","00B5EF","FFFFFF"
"22-811-X-sj2-1","2435","811X","Pemulwuy to Parramatta","Sydney Buses Network","3","00B5EF","FFFFFF"
"22-812-sj2-1","2435","812","Blacktown to Fairfield","Sydney Buses Network","3","00B5EF","FFFFFF"
"22-813-sj2-1","2435","813","Bonnyrigg to Fairfield","Sydney Buses Network","3","00B5EF","FFFFFF"
"22-814-sj2-1","2435","814","Fairfield to Smithfield (Loop Service)","Sydney Buses Network","3","00B5EF","FFFFFF"
"22-815-sj2-1","2435","815","Cabramatta to Mt Prichard (Loop Service)","Sydney Buses Network","3","00B5EF","FFFFFF"
"22-816-sj2-1","2435","816","Cabramatta to Greenfield Park (Loop Service)","Sydney Buses Network","3","00B5EF","FFFFFF"
"22-817-sj2-1","2435","817","Cabramatta to Fairfield","Sydney Buses Network","3","00B5EF","FFFFFF"
"22-818-sj2-1","2435","818","Westmead to Merrylands","Sydney Buses Network","3","00B5EF","FFFFFF"
"22-819-sj2-1","2435","819","Liverpool to Prariewood (Loop Service)","Sydney Buses Network","3","00B5EF","FFFFFF"
"22-820-sj2-1","2435","820","Guildford to Merrylands","Sydney Buses Network","3","00B5EF","FFFFFF"
